scenario_id,stated_tool,executed_ok,converged,informative,detail,case
IEEE14_SCN_000738,power_flow,True,True,True,vmin=0.978 maxload=1.3,ieee14
IEEE14_SCN_000755,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000755,power_flow,True,True,True,vmin=0.984 maxload=0.9,ieee14
IEEE14_SCN_000822,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000822,power_flow,True,True,True,vmin=0.972 maxload=1.4,ieee14
IEEE14_SCN_000841,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000841,power_flow,True,True,True,vmin=0.983 maxload=1.1,ieee14
IEEE14_SCN_000870,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_000870,power_flow,True,True,True,vmin=0.972 maxload=1.4,ieee14
IEEE14_SCN_000928,contingency,True,True,True,vmin=0.981 maxload=1.2 ol=0,ieee14
IEEE14_SCN_000948,contingency,True,True,True,vmin=0.971 maxload=1.1 ol=0,ieee14
IEEE14_SCN_000953,contingency,True,True,True,vmin=0.965 maxload=1.5 ol=0,ieee14
IEEE14_SCN_000967,contingency,True,True,True,vmin=0.947 maxload=1.3 ol=0,ieee14
IEEE14_SCN_000993,contingency,True,True,True,vmin=0.986 maxload=1.0 ol=0,ieee14
IEEE14_SCN_000995,contingency,True,True,True,vmin=0.976 maxload=1.1 ol=0,ieee14
IEEE14_SCN_001001,contingency,True,True,True,vmin=0.958 maxload=2.8 ol=0,ieee14
IEEE14_SCN_001027,contingency,True,True,True,vmin=0.982 maxload=1.1 ol=0,ieee14
IEEE14_SCN_001046,contingency,True,True,True,vmin=0.952 maxload=1.3 ol=0,ieee14
IEEE14_SCN_001060,contingency,True,True,True,vmin=0.946 maxload=1.3 ol=0,ieee14
IEEE14_SCN_001116,contingency,True,True,True,vmin=0.983 maxload=1.0 ol=0,ieee14
IEEE14_SCN_001122,contingency,True,True,True,vmin=0.966 maxload=1.6 ol=0,ieee14
IEEE14_SCN_001155,contingency,True,True,True,vmin=0.984 maxload=0.9 ol=0,ieee14
IEEE14_SCN_001199,contingency,True,True,True,vmin=0.964 maxload=1.1 ol=0,ieee14
IEEE14_SCN_001211,contingency,True,True,True,vmin=0.967 maxload=1.2 ol=0,ieee14
IEEE14_SCN_001253,contingency,True,True,True,vmin=0.952 maxload=1.6 ol=0,ieee14
IEEE14_SCN_001282,contingency,True,True,True,vmin=0.988 maxload=1.2 ol=0,ieee14
IEEE14_SCN_001334,contingency,True,True,True,vmin=0.967 maxload=1.1 ol=0,ieee14
IEEE14_SCN_001338,contingency,True,True,True,vmin=0.984 maxload=1.5 ol=0,ieee14
IEEE14_SCN_001347,contingency,True,True,True,vmin=0.975 maxload=1.0 ol=0,ieee14
IEEE14_SCN_001347,power_flow,True,True,True,vmin=0.975 maxload=1.0,ieee14
IEEE14_SCN_001349,contingency,True,True,True,vmin=0.976 maxload=1.0 ol=0,ieee14
IEEE14_SCN_001349,power_flow,True,True,True,vmin=0.976 maxload=1.0,ieee14
IEEE14_SCN_001353,contingency,True,True,True,vmin=0.976 maxload=1.0 ol=0,ieee14
IEEE14_SCN_001355,contingency,True,True,True,vmin=0.966 maxload=1.2 ol=0,ieee14
IEEE14_SCN_001355,power_flow,True,True,True,vmin=0.966 maxload=1.2,ieee14
IEEE14_SCN_001379,contingency,True,True,True,vmin=0.972 maxload=1.2 ol=0,ieee14
IEEE14_SCN_001379,power_flow,True,True,True,vmin=0.972 maxload=1.2,ieee14
IEEE14_SCN_001384,contingency,True,True,True,vmin=0.983 maxload=1.5 ol=0,ieee14
IEEE14_SCN_001395,contingency,True,True,True,vmin=0.964 maxload=1.3 ol=0,ieee14
IEEE14_SCN_001395,power_flow,True,True,True,vmin=0.964 maxload=1.3,ieee14
IEEE14_SCN_001408,contingency,True,True,True,vmin=0.961 maxload=1.2 ol=0,ieee14
IEEE14_SCN_001428,contingency,True,True,True,vmin=0.974 maxload=1.7 ol=0,ieee14
IEEE14_SCN_001428,power_flow,True,True,True,vmin=0.974 maxload=1.7,ieee14
IEEE14_SCN_001429,contingency,True,True,True,vmin=0.975 maxload=1.7 ol=0,ieee14
IEEE14_SCN_001467,contingency,True,True,True,vmin=0.974 maxload=1.0 ol=0,ieee14
IEEE14_SCN_001467,power_flow,True,True,True,vmin=0.974 maxload=1.0,ieee14
IEEE14_SCN_001535,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001535,power_flow,True,True,True,vmin=0.987 maxload=1.0,ieee14
IEEE14_SCN_001595,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001595,power_flow,True,True,True,vmin=0.972 maxload=1.3,ieee14
IEEE14_SCN_001608,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001608,power_flow,True,True,True,vmin=0.981 maxload=1.1,ieee14
IEEE14_SCN_001614,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001614,power_flow,True,True,True,vmin=0.969 maxload=1.6,ieee14
IEEE14_SCN_001638,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001638,power_flow,True,True,True,vmin=0.971 maxload=1.5,ieee14
IEEE14_SCN_001664,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001664,power_flow,True,True,True,vmin=0.966 maxload=1.5,ieee14
IEEE14_SCN_001668,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001668,power_flow,True,True,True,vmin=0.982 maxload=1.2,ieee14
IEEE14_SCN_001686,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001686,power_flow,True,True,True,vmin=0.978 maxload=1.4,ieee14
IEEE14_SCN_001695,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001695,power_flow,True,True,True,vmin=0.987 maxload=1.1,ieee14
IEEE14_SCN_001720,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001720,none,False,False,False,unknown tool,ieee14
IEEE14_SCN_001720,power_flow,True,True,True,vmin=0.988 maxload=1.0,ieee14
IEEE14_SCN_001725,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001725,power_flow,True,True,True,vmin=0.973 maxload=1.5,ieee14
IEEE14_SCN_001736,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001736,none,False,False,False,unknown tool,ieee14
IEEE14_SCN_001736,power_flow,True,True,True,vmin=0.988 maxload=1.0,ieee14
IEEE14_SCN_001744,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001744,none,False,False,False,unknown tool,ieee14
IEEE14_SCN_001744,power_flow,True,True,True,vmin=0.984 maxload=1.1,ieee14
IEEE14_SCN_001757,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001757,power_flow,True,True,True,vmin=0.978 maxload=1.3,ieee14
IEEE14_SCN_001766,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001766,none,False,False,False,unknown tool,ieee14
IEEE14_SCN_001766,power_flow,True,True,True,vmin=0.986 maxload=1.1,ieee14
IEEE14_SCN_001769,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001769,power_flow,True,True,True,vmin=0.973 maxload=1.3,ieee14
IEEE14_SCN_001778,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001778,power_flow,True,True,True,vmin=0.978 maxload=1.3,ieee14
IEEE14_SCN_001784,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001784,power_flow,True,True,True,vmin=0.977 maxload=1.4,ieee14
IEEE14_SCN_001796,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_001796,power_flow,True,True,True,vmin=0.984 maxload=1.2,ieee14
IEEE14_SCN_001803,contingency,True,True,True,vmin=0.934 maxload=1.6 ol=0,ieee14
IEEE14_SCN_001817,contingency,True,True,True,vmin=0.931 maxload=1.6 ol=0,ieee14
IEEE14_SCN_001827,contingency,True,True,True,vmin=0.930 maxload=1.5 ol=0,ieee14
IEEE14_SCN_001828,contingency,True,True,True,vmin=0.938 maxload=1.6 ol=0,ieee14
IEEE14_SCN_001858,contingency,True,True,True,vmin=0.933 maxload=1.7 ol=0,ieee14
IEEE14_SCN_001858,power_flow,True,True,True,vmin=0.933 maxload=1.7,ieee14
IEEE14_SCN_001918,contingency,True,True,True,vmin=0.934 maxload=1.5 ol=0,ieee14
IEEE14_SCN_001925,contingency,True,True,True,vmin=0.939 maxload=1.4 ol=0,ieee14
IEEE14_SCN_001944,contingency,True,True,True,vmin=0.938 maxload=1.6 ol=0,ieee14
IEEE14_SCN_001945,contingency,True,True,True,vmin=0.935 maxload=1.5 ol=0,ieee14
IEEE14_SCN_001954,contingency,True,True,True,vmin=0.939 maxload=1.6 ol=0,ieee14
IEEE14_SCN_001954,power_flow,True,True,True,vmin=0.939 maxload=1.6,ieee14
IEEE14_SCN_001956,contingency,True,True,True,vmin=0.936 maxload=1.5 ol=0,ieee14
IEEE14_SCN_001981,contingency,True,True,True,vmin=0.936 maxload=1.5 ol=0,ieee14
IEEE14_SCN_002027,contingency,True,True,True,vmin=0.928 maxload=1.6 ol=0,ieee14
IEEE14_SCN_002035,contingency,True,True,True,vmin=0.939 maxload=1.5 ol=0,ieee14
IEEE14_SCN_002041,contingency,True,True,True,vmin=0.932 maxload=1.6 ol=0,ieee14
IEEE14_SCN_002050,contingency,True,True,True,vmin=0.931 maxload=1.6 ol=0,ieee14
IEEE14_SCN_002055,contingency,True,True,True,vmin=0.936 maxload=1.6 ol=0,ieee14
IEEE14_SCN_002071,contingency,True,True,True,vmin=0.935 maxload=1.5 ol=0,ieee14
IEEE14_SCN_002129,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002129,power_flow,True,True,True,vmin=1.010 maxload=1.0,ieee14
IEEE14_SCN_002153,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002153,power_flow,True,True,True,vmin=1.006 maxload=1.1,ieee14
IEEE14_SCN_002166,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002166,power_flow,True,True,True,vmin=1.003 maxload=1.1,ieee14
IEEE14_SCN_002226,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002226,power_flow,True,True,True,vmin=1.009 maxload=0.9,ieee14
IEEE14_SCN_002234,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002234,power_flow,True,True,True,vmin=1.008 maxload=1.0,ieee14
IEEE14_SCN_002263,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002263,power_flow,True,True,True,vmin=1.009 maxload=1.0,ieee14
IEEE14_SCN_002292,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002292,power_flow,True,True,True,vmin=1.006 maxload=1.1,ieee14
IEEE14_SCN_002332,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002332,power_flow,True,True,True,vmin=1.010 maxload=0.9,ieee14
IEEE14_SCN_002341,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002341,power_flow,True,True,True,vmin=1.008 maxload=1.0,ieee14
IEEE14_SCN_002388,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002388,power_flow,True,True,True,vmin=1.009 maxload=1.0,ieee14
IEEE14_SCN_002390,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002390,power_flow,True,True,True,vmin=1.010 maxload=1.0,ieee14
IEEE14_SCN_002404,contingency,True,True,True,vmin=0.943 maxload=3.2 ol=0,ieee14
IEEE14_SCN_002404,power_flow,True,True,True,vmin=0.943 maxload=3.2,ieee14
IEEE14_SCN_002430,contingency,True,True,True,vmin=0.946 maxload=3.1 ol=0,ieee14
IEEE14_SCN_002430,power_flow,True,True,True,vmin=0.946 maxload=3.1,ieee14
IEEE14_SCN_002471,contingency,True,True,True,vmin=0.950 maxload=3.1 ol=0,ieee14
IEEE14_SCN_002471,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002494,contingency,True,True,True,vmin=0.908 maxload=4.0 ol=0,ieee14
IEEE14_SCN_002494,power_flow,True,True,True,vmin=0.908 maxload=4.0,ieee14
IEEE14_SCN_002496,contingency,True,True,True,vmin=0.911 maxload=3.9 ol=0,ieee14
IEEE14_SCN_002496,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002496,power_flow,True,True,True,vmin=0.911 maxload=3.9,ieee14
IEEE14_SCN_002500,contingency,True,True,True,vmin=0.905 maxload=4.1 ol=0,ieee14
IEEE14_SCN_002500,power_flow,True,True,True,vmin=0.905 maxload=4.1,ieee14
IEEE14_SCN_002533,contingency,True,True,True,vmin=0.937 maxload=3.4 ol=0,ieee14
IEEE14_SCN_002533,power_flow,True,True,True,vmin=0.937 maxload=3.4,ieee14
IEEE14_SCN_002536,contingency,True,True,True,vmin=0.916 maxload=3.8 ol=0,ieee14
IEEE14_SCN_002536,power_flow,True,True,True,vmin=0.916 maxload=3.8,ieee14
IEEE14_SCN_002540,contingency,True,True,True,vmin=0.948 maxload=3.0 ol=0,ieee14
IEEE14_SCN_002540,grid_query,True,True,True,query on post-event net: vmin=0.974,ieee14
IEEE14_SCN_002540,power_flow,True,True,True,vmin=0.948 maxload=3.0,ieee14
IEEE14_SCN_002566,contingency,True,True,True,vmin=0.912 maxload=3.9 ol=0,ieee14
IEEE14_SCN_002566,power_flow,True,True,True,vmin=0.912 maxload=3.9,ieee14
IEEE14_SCN_002621,contingency,True,True,True,vmin=0.948 maxload=3.1 ol=0,ieee14
IEEE14_SCN_002621,power_flow,True,True,True,vmin=0.948 maxload=3.1,ieee14
IEEE14_SCN_002683,contingency,True,True,True,vmin=0.899 maxload=4.1 ol=0,ieee14
IEEE14_SCN_002683,power_flow,True,True,True,vmin=0.899 maxload=4.1,ieee14
IEEE14_SCN_002692,contingency,True,True,True,vmin=0.924 maxload=3.7 ol=0,ieee14
IEEE14_SCN_002692,power_flow,True,True,True,vmin=0.924 maxload=3.7,ieee14
IEEE14_SCN_002703,contingency,True,True,True,vmin=0.925 maxload=1.6 ol=0,ieee14
IEEE14_SCN_002703,power_flow,True,True,True,vmin=0.925 maxload=1.6,ieee14
IEEE14_SCN_002776,contingency,True,True,True,vmin=0.973 maxload=1.4 ol=0,ieee14
IEEE14_SCN_002776,power_flow,True,True,True,vmin=0.973 maxload=1.4,ieee14
IEEE14_SCN_002781,contingency,True,True,True,vmin=0.964 maxload=2.0 ol=0,ieee14
IEEE14_SCN_002781,power_flow,True,True,True,vmin=0.964 maxload=2.0,ieee14
IEEE14_SCN_002785,contingency,True,True,True,vmin=0.967 maxload=1.8 ol=0,ieee14
IEEE14_SCN_002785,power_flow,True,True,True,vmin=0.967 maxload=1.8,ieee14
IEEE14_SCN_002826,contingency,True,True,True,vmin=0.923 maxload=1.8 ol=0,ieee14
IEEE14_SCN_002826,power_flow,True,True,True,vmin=0.923 maxload=1.8,ieee14
IEEE14_SCN_002843,contingency,True,True,True,vmin=0.941 maxload=1.5 ol=0,ieee14
IEEE14_SCN_002843,power_flow,True,True,True,vmin=0.941 maxload=1.5,ieee14
IEEE14_SCN_002846,contingency,True,True,True,vmin=0.969 maxload=1.6 ol=0,ieee14
IEEE14_SCN_002846,power_flow,True,True,True,vmin=0.969 maxload=1.6,ieee14
IEEE14_SCN_002854,contingency,True,True,True,vmin=0.950 maxload=2.0 ol=0,ieee14
IEEE14_SCN_002854,power_flow,True,True,True,vmin=0.950 maxload=2.0,ieee14
IEEE14_SCN_002877,contingency,True,True,True,vmin=0.940 maxload=1.5 ol=0,ieee14
IEEE14_SCN_002877,power_flow,True,True,True,vmin=0.940 maxload=1.5,ieee14
IEEE14_SCN_002888,contingency,True,True,True,vmin=0.953 maxload=1.8 ol=0,ieee14
IEEE14_SCN_002888,power_flow,True,True,True,vmin=0.953 maxload=1.8,ieee14
IEEE14_SCN_002895,contingency,True,True,True,vmin=0.977 maxload=1.3 ol=0,ieee14
IEEE14_SCN_002895,power_flow,True,True,True,vmin=0.977 maxload=1.3,ieee14
IEEE14_SCN_002925,contingency,True,True,True,vmin=0.959 maxload=1.7 ol=0,ieee14
IEEE14_SCN_002925,power_flow,True,True,True,vmin=0.959 maxload=1.7,ieee14
IEEE14_SCN_002926,contingency,True,True,True,vmin=0.969 maxload=1.5 ol=0,ieee14
IEEE14_SCN_002926,power_flow,True,True,True,vmin=0.969 maxload=1.5,ieee14
IEEE14_SCN_002945,contingency,True,True,True,vmin=0.963 maxload=1.8 ol=0,ieee14
IEEE14_SCN_002945,power_flow,True,True,True,vmin=0.963 maxload=1.8,ieee14
IEEE14_SCN_002952,contingency,True,True,True,vmin=0.970 maxload=1.4 ol=0,ieee14
IEEE14_SCN_002952,power_flow,True,True,True,vmin=0.970 maxload=1.4,ieee14
IEEE14_SCN_002976,contingency,True,True,True,vmin=0.931 maxload=2.0 ol=0,ieee14
IEEE14_SCN_002976,power_flow,True,True,True,vmin=0.931 maxload=2.0,ieee14
IEEE14_SCN_002979,contingency,True,True,True,vmin=0.969 maxload=1.3 ol=0,ieee14
IEEE14_SCN_002979,power_flow,True,True,True,vmin=0.969 maxload=1.3,ieee14
IEEE14_SCN_002982,contingency,True,True,True,vmin=0.963 maxload=1.6 ol=0,ieee14
IEEE14_SCN_002982,power_flow,True,True,True,vmin=0.963 maxload=1.6,ieee14
IEEE14_SCN_002986,contingency,True,True,True,vmin=0.957 maxload=1.6 ol=0,ieee14
IEEE14_SCN_002986,power_flow,True,True,True,vmin=0.957 maxload=1.6,ieee14
IEEE14_SCN_002988,contingency,True,True,True,vmin=0.932 maxload=1.6 ol=0,ieee14
IEEE14_SCN_002988,power_flow,True,True,True,vmin=0.932 maxload=1.6,ieee14
IEEE14_SCN_002994,contingency,True,True,True,vmin=0.978 maxload=1.0 ol=0,ieee14
IEEE14_SCN_002994,power_flow,True,True,True,vmin=0.978 maxload=1.0,ieee14
